Date,Adj Close,Close,High,Low,Open,Volume,Daily Return,SMA_50,SMA_200,Rolling Mean,RSI,Log Return,Rolling Std,Upper Band,Lower Band,Volatility_20,Volatility_50,Excess Return
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,
2020-01-02,72.7960205078125,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,,,,,,,,,,,,
2020-01-03,72.0882797241211,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,-0.00972203551987938,,,,,-0.00976960306049766,,,,,,-0.00980140059924446
2020-01-06,72.66270446777344,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,0.007968245219206693,,,,,0.00793666639423103,,,,,,0.007888880139841613
2020-01-07,72.32097625732422,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,-0.0047030460371630944,,,,,-0.004714140155944748,,,,,,-0.004782411116528174
2020-01-08,73.48435974121094,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,0.016086288271489613,,,,,0.015958274951065204,,,,,,0.016006923192124534
2020-01-09,75.04522705078125,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,0.021240813976545425,,,,,0.021018372269413728,,,,,,0.021161448897180347
2020-01-10,75.21488189697266,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,0.0022607036734636488,,,,,0.0022581521277163447,,,,,,0.0021813385940985695
2020-01-13,76.82178497314453,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,0.02136437073337283,,,,,0.021139351847751234,,,,,,0.02128500565400775
2020-01-14,75.78445434570312,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,-0.013503277683875936,,,,,-0.013595276063127494,,,,,,-0.013582642763241016
2020-01-15,75.45966339111328,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,-0.004285519922216707,,,,,-0.0042947290828305364,,,,,,-0.0043648850015817866
2020-01-16,76.40489959716797,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,0.012526478905240834,,,,,0.012448671661775561,,,,,,0.012447113825875754
2020-01-17,77.25079345703125,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,0.011070996257037002,,,,,0.011010161368047904,,,,,,0.010991631177671922
2020-01-21,76.72726440429688,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,-0.006776907061324833,,,,,-0.006799974572640368,,,,,,-0.006856272140689912
2020-01-22,77.00115966796875,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,0.003569526034268966,,,,70.86843370663613,0.003563170396134458,,,,,,0.003490160954903887
2020-01-23,77.37200164794922,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,0.004815859995308536,,,,71.90257027543723,0.0048043008382272516,,,,,,0.0047364949159434564
2020-01-24,77.14899444580078,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,-0.002881976618964499,,,,75.40148088306488,-0.002886137509897144,,,,,,-0.0029613416983295783
